id,day_id,date,month_id,year_id
431,1,6,3,1972
432,2,7,3,1972
433,3,8,3,1972
434,4,9,3,1972
435,5,10,3,1972
436,6,11,3,1972
437,7,12,3,1972
438,1,13,3,1972
439,2,14,3,1972
440,3,15,3,1972
441,4,16,3,1972
442,5,17,3,1972
443,6,18,3,1972
444,7,19,3,1972
445,1,20,3,1972
446,2,21,3,1972
447,3,22,3,1972
448,4,23,3,1972
449,5,24,3,1972
450,6,25,3,1972
451,7,26,3,1972
452,1,27,3,1972
453,2,28,3,1972
454,3,29,3,1972
455,4,30,3,1972
456,5,31,3,1972
457,6,1,4,1972
458,7,2,4,1972
459,1,3,4,1972
460,2,4,4,1972
461,3,5,4,1972
462,4,6,4,1972
463,5,7,4,1972
464,6,8,4,1972
465,7,9,4,1972
466,1,10,4,1972
467,2,11,4,1972
468,3,12,4,1972
469,4,13,4,1972
470,5,14,4,1972
471,6,15,4,1972
472,7,16,4,1972
473,1,17,4,1972
474,2,18,4,1972
475,3,19,4,1972
476,4,20,4,1972
477,5,21,4,1972
478,6,22,4,1972
479,7,23,4,1972
480,1,24,4,1972
481,2,25,4,1972
482,3,26,4,1972
483,4,27,4,1972
484,5,28,4,1972
485,6,29,4,1972
486,7,30,4,1972
487,1,1,5,1972
488,2,2,5,1972
489,3,3,5,1972
490,4,4,5,1972
491,5,5,5,1972
492,6,6,5,1972
493,7,7,5,1972
494,1,8,5,1972
495,2,9,5,1972
496,3,10,5,1972
497,4,11,5,1972
498,5,12,5,1972
499,6,13,5,1972
500,7,14,5,1972
501,1,15,5,1972
502,2,16,5,1972
503,3,17,5,1972
504,4,18,5,1972
505,5,19,5,1972
506,6,20,5,1972
507,7,21,5,1972
508,1,22,5,1972
509,2,23,5,1972
510,3,24,5,1972
511,4,25,5,1972
512,5,26,5,1972
513,6,27,5,1972
514,7,28,5,1972
515,1,29,5,1972
516,2,30,5,1972
517,3,31,5,1972
518,4,1,6,1972
519,5,2,6,1972
520,6,3,6,1972
521,7,4,6,1972
522,1,5,6,1972
523,2,6,6,1972
524,3,7,6,1972
525,4,8,6,1972
526,5,9,6,1972
527,6,10,6,1972
528,7,11,6,1972
529,1,12,6,1972
530,2,13,6,1972
531,3,14,6,1972
532,4,15,6,1972
533,5,16,6,1972
534,6,17,6,1972
535,7,18,6,1972
536,1,19,6,1972
537,2,20,6,1972
538,3,21,6,1972
539,4,22,6,1972
540,5,23,6,1972
541,6,24,6,1972
542,7,25,6,1972
543,1,26,6,1972
544,2,27,6,1972
545,3,28,6,1972
546,4,29,6,1972
547,5,30,6,1972
548,6,1,7,1972
549,7,2,7,1972
550,1,3,7,1972
551,2,4,7,1972
552,3,5,7,1972
553,4,6,7,1972
554,5,7,7,1972
555,6,8,7,1972
556,7,9,7,1972
557,1,10,7,1972
558,2,11,7,1972
559,3,12,7,1972
560,4,13,7,1972
561,5,14,7,1972
562,6,15,7,1972
563,7,16,7,1972
564,1,17,7,1972
565,2,18,7,1972
566,3,19,7,1972
567,4,20,7,1972
568,5,21,7,1972
569,6,22,7,1972
570,7,23,7,1972
571,1,24,7,1972
572,2,25,7,1972
573,3,26,7,1972
574,4,27,7,1972
575,5,28,7,1972
576,6,29,7,1972
577,7,30,7,1972
578,1,31,7,1972
579,2,1,8,1972
580,3,2,8,1972
581,4,3,8,1972
582,5,4,8,1972
583,6,5,8,1972
584,7,6,8,1972
585,1,7,8,1972
586,2,8,8,1972
587,3,9,8,1972
588,4,10,8,1972
589,5,11,8,1972
590,6,12,8,1972
591,7,13,8,1972
592,1,14,8,1972
593,2,15,8,1972
594,3,16,8,1972
595,4,17,8,1972
596,5,18,8,1972
597,6,19,8,1972
598,7,20,8,1972
599,1,21,8,1972
600,2,22,8,1972
601,3,23,8,1972
602,4,24,8,1972
603,5,25,8,1972
604,6,26,8,1972
605,7,27,8,1972
606,1,28,8,1972
607,2,29,8,1972
608,3,30,8,1972
609,4,31,8,1972
610,5,1,9,1972
611,6,2,9,1972
612,7,3,9,1972
613,1,4,9,1972
614,2,5,9,1972
615,3,6,9,1972
616,4,7,9,1972
617,5,8,9,1972
618,6,9,9,1972
619,7,10,9,1972
620,1,11,9,1972
621,2,12,9,1972
622,3,13,9,1972
623,4,14,9,1972
624,5,15,9,1972
625,6,16,9,1972
626,7,17,9,1972
627,1,18,9,1972
628,2,19,9,1972
629,3,20,9,1972
630,4,21,9,1972
631,5,22,9,1972
632,6,23,9,1972
633,7,24,9,1972
634,1,25,9,1972
635,2,26,9,1972
636,3,27,9,1972
637,4,28,9,1972
638,5,29,9,1972
639,6,30,9,1972
640,7,1,10,1972
641,1,2,10,1972
642,2,3,10,1972
643,3,4,10,1972
644,4,5,10,1972
645,5,6,10,1972
646,6,7,10,1972
647,7,8,10,1972
648,1,9,10,1972
649,2,10,10,1972
650,3,11,10,1972
651,4,12,10,1972
652,5,13,10,1972
653,6,14,10,1972
654,7,15,10,1972
655,1,16,10,1972
656,2,17,10,1972
657,3,18,10,1972
658,4,19,10,1972
659,5,20,10,1972
660,6,21,10,1972
661,7,22,10,1972
662,1,23,10,1972
663,2,24,10,1972
664,3,25,10,1972
665,4,26,10,1972
666,5,27,10,1972
667,6,28,10,1972
668,7,29,10,1972
669,1,30,10,1972
670,2,31,10,1972
671,3,1,11,1972
672,4,2,11,1972
673,5,3,11,1972
674,6,4,11,1972
675,7,5,11,1972
676,1,6,11,1972
677,2,7,11,1972
678,3,8,11,1972
679,4,9,11,1972
680,5,10,11,1972
681,6,11,11,1972
682,7,12,11,1972
683,1,13,11,1972
684,2,14,11,1972
685,3,15,11,1972
686,4,16,11,1972
687,5,17,11,1972
688,6,18,11,1972
689,7,19,11,1972
690,1,20,11,1972
691,2,21,11,1972
692,3,22,11,1972
693,4,23,11,1972
694,5,24,11,1972
695,6,25,11,1972
696,7,26,11,1972
697,1,27,11,1972
698,2,28,11,1972
699,3,29,11,1972
700,4,30,11,1972
701,5,1,12,1972
702,6,2,12,1972
703,7,3,12,1972
704,1,4,12,1972
705,2,5,12,1972
706,3,6,12,1972
707,4,7,12,1972
708,5,8,12,1972
709,6,9,12,1972
710,7,10,12,1972
711,1,11,12,1972
712,2,12,12,1972
713,3,13,12,1972
714,4,14,12,1972
715,5,15,12,1972
716,6,16,12,1972
717,7,17,12,1972
718,1,18,12,1972
719,2,19,12,1972
720,3,20,12,1972
721,4,21,12,1972
722,5,22,12,1972
723,6,23,12,1972
724,7,24,12,1972
725,1,25,12,1972
726,2,26,12,1972
727,3,27,12,1972
728,4,28,12,1972
729,5,29,12,1972
730,6,30,12,1972
731,7,31,12,1972
732,1,1,1,1973
733,2,2,1,1973
734,3,3,1,1973
735,4,4,1,1973
736,5,5,1,1973
737,6,6,1,1973
738,7,7,1,1973
739,1,8,1,1973
740,2,9,1,1973
741,3,10,1,1973
742,4,11,1,1973
743,5,12,1,1973
744,6,13,1,1973
745,7,14,1,1973
746,1,15,1,1973
747,2,16,1,1973
748,3,17,1,1973
749,4,18,1,1973
750,5,19,1,1973
751,6,20,1,1973
752,7,21,1,1973
753,1,22,1,1973
754,2,23,1,1973
755,3,24,1,1973
756,4,25,1,1973
757,5,26,1,1973
758,6,27,1,1973
759,7,28,1,1973
760,1,29,1,1973
761,2,30,1,1973
762,3,31,1,1973
763,4,1,2,1973
764,5,2,2,1973
765,6,3,2,1973
766,7,4,2,1973
767,1,5,2,1973
768,2,6,2,1973
769,3,7,2,1973
770,4,8,2,1973
771,5,9,2,1973
772,6,10,2,1973
773,7,11,2,1973
774,1,12,2,1973
775,2,13,2,1973
776,3,14,2,1973
777,4,15,2,1973
778,5,16,2,1973
779,6,17,2,1973
780,7,18,2,1973
781,1,19,2,1973
782,2,20,2,1973
783,3,21,2,1973
784,4,22,2,1973
785,5,23,2,1973
786,6,24,2,1973
787,7,25,2,1973
788,1,26,2,1973
789,2,27,2,1973
790,3,28,2,1973
791,4,1,3,1973
792,5,2,3,1973
793,6,3,3,1973
794,7,4,3,1973
795,1,5,3,1973
796,2,6,3,1973
797,3,7,3,1973
798,4,8,3,1973
799,5,9,3,1973
800,6,10,3,1973
801,7,11,3,1973
802,1,12,3,1973
803,2,13,3,1973
804,3,14,3,1973
805,4,15,3,1973
806,5,16,3,1973
807,6,17,3,1973
808,7,18,3,1973
809,1,19,3,1973
810,2,20,3,1973
811,3,21,3,1973
812,4,22,3,1973
813,5,23,3,1973
814,6,24,3,1973
815,7,25,3,1973
816,1,26,3,1973
817,2,27,3,1973
818,3,28,3,1973
819,4,29,3,1973
820,5,30,3,1973
821,6,31,3,1973
822,7,1,4,1973
823,1,2,4,1973
824,2,3,4,1973
825,3,4,4,1973
826,4,5,4,1973
827,5,6,4,1973
828,6,7,4,1973
829,7,8,4,1973
830,1,9,4,1973
831,2,10,4,1973
832,3,11,4,1973
833,4,12,4,1973
834,5,13,4,1973
835,6,14,4,1973
836,7,15,4,1973
837,1,16,4,1973
838,2,17,4,1973
839,3,18,4,1973
840,4,19,4,1973
841,5,20,4,1973
842,6,21,4,1973
843,7,22,4,1973
844,1,23,4,1973
845,2,24,4,1973
846,3,25,4,1973
847,4,26,4,1973
848,5,27,4,1973
849,6,28,4,1973
850,7,29,4,1973
851,1,30,4,1973
852,2,1,5,1973
853,3,2,5,1973
854,4,3,5,1973
855,5,4,5,1973
856,6,5,5,1973
857,7,6,5,1973
858,1,7,5,1973
859,2,8,5,1973
860,3,9,5,1973
861,4,10,5,1973
862,5,11,5,1973
863,6,12,5,1973
864,7,13,5,1973
865,1,14,5,1973
866,2,15,5,1973
867,3,16,5,1973
868,4,17,5,1973
869,5,18,5,1973
870,6,19,5,1973
871,7,20,5,1973
872,1,21,5,1973
873,2,22,5,1973
874,3,23,5,1973
875,4,24,5,1973
876,5,25,5,1973
877,6,26,5,1973
878,7,27,5,1973
879,1,28,5,1973
880,2,29,5,1973
881,3,30,5,1973
882,4,31,5,1973
883,5,1,6,1973
884,6,2,6,1973
885,7,3,6,1973
886,1,4,6,1973
887,2,5,6,1973
888,3,6,6,1973
889,4,7,6,1973
890,5,8,6,1973
891,6,9,6,1973
892,7,10,6,1973
893,1,11,6,1973
894,2,12,6,1973
895,3,13,6,1973
896,4,14,6,1973
897,5,15,6,1973
898,6,16,6,1973
899,7,17,6,1973
900,1,18,6,1973
901,2,19,6,1973
902,3,20,6,1973
903,4,21,6,1973
904,5,22,6,1973
905,6,23,6,1973
906,7,24,6,1973
907,1,25,6,1973
908,2,26,6,1973
909,3,27,6,1973
910,4,28,6,1973
911,5,29,6,1973
912,6,30,6,1973
913,7,1,7,1973
914,1,2,7,1973
915,2,3,7,1973
916,3,4,7,1973
917,4,5,7,1973
918,5,6,7,1973
919,6,7,7,1973
920,7,8,7,1973
921,1,9,7,1973
922,2,10,7,1973
923,3,11,7,1973
924,4,12,7,1973
925,5,13,7,1973
926,6,14,7,1973
927,7,15,7,1973
928,1,16,7,1973
929,2,17,7,1973
930,3,18,7,1973
931,4,19,7,1973
932,5,20,7,1973
933,6,21,7,1973
934,7,22,7,1973
935,1,23,7,1973
936,2,24,7,1973
937,3,25,7,1973
938,4,26,7,1973
939,5,27,7,1973
940,6,28,7,1973
941,7,29,7,1973
942,1,30,7,1973
943,2,31,7,1973
944,3,1,8,1973
945,4,2,8,1973
946,5,3,8,1973
947,6,4,8,1973
948,7,5,8,1973
949,1,6,8,1973
950,2,7,8,1973
951,3,8,8,1973
